Produkt,Marke
Weihnachtsmann,MILKA
Comtess Kuchen,BAHLSEN
Almighurt,EHRMANN
Franz. Butterkäse,BONBEL
Tortilla-Chips,DORITOS
Magnum,LANGNESE
Meersalz-Butter,PRÉSIDENT
Qualitätswein oder Alkoholfrei,MAYBACH
Gold,JACOBS
Dtsch. Zwiebeln,
Fertiggericht,FROSTA
Kaffee,MELITTA
Choco oder Sensations,MILKA
"Amerikan. Süßkartoffeln, lose",
"Brasil./domenik. Mango, lose",
Weihnachts-Mischung,MILKA
Rocher,FERRERO
Schlemmerfilet versch. Sorten,FROSTA
5-Stern,METAXA
Toilettenpapier Ultra Soft,ZEWA
Peruan. Kulturheidelbeeren,
Schinken-Nuggetz,REINERT
Frischkäsezubereitung,PHILADELPHIA
Taschki Teigtaschen,DOVGAN
Sahne-Rolle Erdbeere,COPPENRATH & WIESE
Brötchen zum Selberbacken,KNACK & BACK
"Tomaten, Pizzasauce oder Tomatenmark",ORO DI PARMA
Rotkohl oder Apfelrotkohl,KÜHNE
Pesto,BARILLA
Fruchtaufstrich,ZENTIS
Nuss-Nugat-Creme,NUTELLA
Milch-Nuss-Schnitte,KNOPPERS
Überraschung Weihnachtsanhänger,KINDER
"Küsschen-, Mon-Chéri-, Raffaello- od. Rocher-Stern",FERRERO
Aachener Dominosteine,K-WINTER EDIION
Weiche Lebkuchen,WEISS
Halsbonbons,VIVIL
Fruchtsaft,VALENSINA
Microdrink,WATERDROP
Original 3 Años o. Especial,HAVANA CLUB
Dornfelder oder Riesling,ROTWILD
Energy Drink oder Erfrischungsgetränk,RED BULL
Voll- oder Colorwaschmittel,WEISSER RIESE
Taschentücher,TEMPO
"Taft Haarlack, -spray oder Schaumfestiger",SCHWARZKOPF
Paninigerät/Kontaktgrill »Inicio GC241D«,TEFAL
2-in-1-Akku-Handstaubsauger »15093«,CLEANMAXX
Kinder-Kamera »Kidizoom«,VTECH
Fensterabzieher »Window Slider M«,LEIFHEIT
Wand- und Deckenbesen »Dusty«,LEIFHEIT
Teleskopstiel,LEIFHEIT
Staubwedel »Duster XL«,LEIFHEIT
Fliesenwischer »FlexiPad«,LEIFHEIT
Vegane Pfannen- oder Grillprodukte,RÜGENWALDER MÜHLE
Alt-Mecklenburger oder Alter Schwede,RÜCKER
Linsen- oder Popchips,FUNNY-FRISCH
Kraft Aktiv,WC-FRISCH
Miniromatomaten XXL,
Span. Orangen,
Span. Clementinen,
Span. Bio-Zitronen,
Dtsch. Multicolor-Salat oder Kopfsalat,
Speisekartoffeln Linella,
Marokk. Buschbohnen,
Dtsch. Cocktailrispentomaten,
Ital./span. Kräuter XXL,
Dtsch. Grünkohl,
Span./ital. Bio-Blumenkohl,
Span./ital. Bio-Broccoli,
Span. Bio-Rispentomaten,
Chin. Bio-Ingwer,
"Ital. Kohlrabi, lose",
Amerik./franz. Walnüsse XXL,
Amerik. Erdnüsse,
Geschenkstrauß Advent,
Amaryllis,
Chinesische Feige im Keramik-Übertopf,
Flamingoblume,
Hyazinthe im Keramik-Übertopf,
Orchidee im Keramik-Übertopf,
Mini-Weihnachtsstern im Keramik-Übertopf,
Mini Zauberstern im Keramik-Übertopf,
Rentier bepflanzt,
Schirmpalme,
"Ital./span.Tafeltrauben, hell",
Dtsch. Speisekartoffeln,
VitaSafe »Ananas«,
Grobe Bratwurst,K-PURLAND
Schweinegulasch,K-PURLAND
Schweinerücken,K-PURLAND
Kasseler Nussschinken,K-PURLAND
"Gourmetbraten vom Schwein, gefüllt und gewürzt",K-PURLAND
